No,Category,Subcategory,Rule,Constraint,Why,Reference,Game_Style,Severity
1,Camera,Isometric,Always lock camera angle before batch generation,Side-view 2D / 3/4 top-down isometric / First-person 60° FOV,Prevents perspective mismatch across assets,Camera angle is the first constraint to define,All,High
2,Camera,Isometric,Match tile size consistently,64x64px or 128x128px,Prevents tiny doors and giant barrels in same scene,Tile size defines scale for all props and characters,2D,High
3,Camera,Isometric,Character height = N tiles,4 tiles for medium chars,Scale consistency prevents visual confusion,Character must read clearly at intended display size,2D,High
4,Camera,FirstPerson,Set FOV before generation,60° standard / 90° wide-angle / 45° telephoto,FOV affects perceived scale of environment,FOV changes depth perception dramatically,3D,High
5,Camera,FirstPerson,Lock camera height,1.7m human / 1.2m child / Eye level of character,Prevents inconsistent eye-level across scenes,Camera height defines player's POV,3D,Medium
6,Palette,Colors,Limit primary palette to 6-8 colors,Primary, Secondary, Accent, Background, Text, Muted, Border + 2 game-specific,AI struggles with 10+ colors — style drifts,Hard cap on palette size prevents inconsistency,All,High
7,Palette,Colors,Generate palette before any asset generation,Create palette JSON first,Reference-less generation leads to color drift,Palette is the foundation of visual consistency,All,High
8,Palette,Colors,Use off-black not pure black,#09090b zinc-950 instead of #000000,Pure black looks harsh on screens — off-blacks feel natural,Pure black is an AI tell,All,Medium
9,Palette,Harmony,Validate color harmony with 60-30-10 rule,60% dominant / 30% secondary / 10% accent,Industry-standard ratio creates balanced palettes,60-30-10 distributes visual weight,All,High
10,Lighting,Direction,Lock light direction before batch,Top-left 45° primary / Fill from bottom-right,Inconsistent lighting = pasted-on objects feel,Lighting direction is as identity-defining as color,All,High
11,Lighting,Direction,Use warm key + cool fill for moody scenes,Key: 3200K warm / Fill: 5600K cool,Creates depth and atmosphere without harsh shadows,Cool fill prevents muddy shadows,3D,High
12,Lighting,Hardness,Set shadow hardness per material type,Hard for metal / Soft for organic / Medium for stone,Materials have distinct shadow characteristics,Shadow style defines material identity,All,High
13,Lighting,Ambient,Define ambient color and intensity,Low ambient (10-20%) with tint,Too much ambient flattens depth,Ambient establishes baseline color cast,3D,High
14,Lighting,RimLight,Use rim light on characters for silhouette separation,Color: complementary to key light,Separates character from background without shadow complexity,Rim light is cheap depth cue,All,Medium
15,Material,Grass,Flat shading with subtle noise texture,No specular, low detail variation,Grass is distant and ambient — high detail is wasted,Flat shading at game scale reads clearly,2D,High
16,Material,Stone,Matte with edge highlighting,No reflection, edge contrast,Stoic and heavy — reflections break the material,Edge detection style for stylized stone,All,Medium
17,Material,Metal,Reflective with environment tint + rim light,Specular highlights match environment color,Metal reads as metal through reflection and rim,Metal is defined by what it reflects,All,High
18,Material,Organic,Flesh: subsurface scattering hint on edges,Warm undertone bleeding into shadow,Organic materials glow from within — dead flat looks fake,Subsurface hint at edges reads as alive,All,Medium
19,Material,Fabric,Cloth: no reflections, fabric texture pattern,Soft matte with weave pattern visible at macro,Fabric absorbs light — reflections look like wet cloth,Fabric weave pattern at macro scale,All,Medium
20,Material,Water,Transparent with Fresnel effect + caustics hint,Alpha gradient with rim opacity,Water is defined by transparency and light play,Water reads through refraction and rim,All,High
21,Material,Glass,Transparent with environment reflection + chromatic aberration,Specular + transmission + IOR 1.5,Glass bends light — pure transparency looks like air,Refraction + reflection = glass identity,All,High
22,Edges,Border,Define border style per game type,Transparent border for tiles / Contour outline for chars / No outline for 3D,Seam handling and style coherence,Borders define asset integration style,All,High
